,relax_mae_value_1,relax_avg_per_error_1,unrelax_mae_value_1,unrelax_avg_per_error_1,relax_mae_value_2,relax_avg_per_error_2,unrelax_mae_value_2,unrelax_avg_per_error_2,relax_mae_value_3,relax_avg_per_error_3,unrelax_mae_value_3,unrelax_avg_per_error_3
400,2.9643025398254395,0.9123302645802532,2.04817533493042,0.5843365647768336,3.417041301727295,1.0519679161312894,1.877623200416565,0.5355528569579483,3.263838291168213,1.0031815079335666,1.582826852798462,0.4553897149699571
450,3.371192455291748,1.0390026399480505,1.376371145248413,0.3944358540973418,3.5319526195526123,1.0841447562581639,1.5124701261520386,0.4321830688180947,3.6158080101013184,1.1124552637635028,1.930897831916809,0.5521440952714681
500,2.0634255409240723,0.6367116475659877,1.3889440298080444,0.3947095532334189,2.453181743621826,0.7560076064233416,1.571913719177246,0.45256100055833115,3.05595326423645,0.9372147825766408,1.3766751289367676,0.3932392882562267
550,2.3439371585845947,0.7224469406046166,1.5610817670822144,0.44830584081719244,2.58117413520813,0.7922175052565648,1.314965009689331,0.3758155952293999,3.0467545986175537,0.9387516035535582,1.2043746709823608,0.34600955608193595
600,2.4133903980255127,0.7423440616271061,1.3620156049728394,0.38950821561556176,2.6108720302581787,0.8038452579136669,1.096681833267212,0.3146783892974031,2.8871378898620605,0.8898763708353464,1.1362749338150024,0.3261467293506263
650,2.893747091293335,0.8912271888432338,1.289279580116272,0.37021373438584043,2.101440668106079,0.6437420887103498,1.0222285985946655,0.2919482274009836,2.7306344509124756,0.8412650119807571,1.120061993598938,0.3202112098077369
700,2.8591370582580566,0.8818893934036492,1.402409553527832,0.40382325832074295,2.3651981353759766,0.7255731284640459,1.054721713066101,0.3025992592274902,3.8171184062957764,1.1735796105155616,1.0568478107452393,0.30308531046342263
750,1.9540170431137085,0.6015543897648611,1.2246681451797485,0.3507216730893076,2.66845965385437,0.8192014510456047,1.097943902015686,0.3147295262333629,1.942198634147644,0.5986661849023668,1.3397841453552246,0.38524733713028686
800,1.5067061185836792,0.4641009468299648,1.5190529823303223,0.4371759203836193,2.233046531677246,0.6885091647610347,1.409518837928772,0.40514812575232023,1.8464256525039673,0.5667272354150382,1.4844083786010742,0.4271177168192959
850,1.7449408769607544,0.5345328810386506,1.3952502012252808,0.3978281420511813,2.2189042568206787,0.6838166603675347,1.0383222103118896,0.2974417258826981,2.3522419929504395,0.7267494661569608,1.1603546142578125,0.3339404722936328
900,1.8414242267608643,0.5682758582898694,1.9662315845489502,0.5664435460396753,1.9540148973464966,0.6005115258975754,1.0027389526367188,0.2875306293663032,1.5411583185195923,0.4729945490995308,1.090605616569519,0.31218107157275155
950,1.2885634899139404,0.3960150368444808,1.4491292238235474,0.41341451214513925,1.8612051010131836,0.5749979139265625,1.446029543876648,0.4102573552762269,1.976302146911621,0.6084137458580267,1.0944278240203857,0.31215726437058255
1000,1.8888167142868042,0.5796802672581457,1.9283941984176636,0.5455359853929371,1.7967413663864136,0.5516080658545931,1.0633409023284912,0.3040744225474507,2.075737476348877,0.6360055413455579,1.0979188680648804,0.3139268139372808
1050,2.185238838195801,0.6722556864577143,0.9826775789260864,0.28183351727868616,1.7687489986419678,0.5445833551807177,1.0086466073989868,0.2886447932085144,3.5992724895477295,1.1004951649064163,1.1912119388580322,0.3386039298974556
1100,2.3513219356536865,0.7234908571896979,1.0921427011489868,0.3119541172456583,1.7498375177383423,0.5371511680284814,0.9983029961585999,0.2854727706523314,1.4930354356765747,0.4598707302961325,1.0921211242675781,0.3128711908718445
1150,1.677426815032959,0.5156240115418003,1.141785740852356,0.3262973034968883,1.7643927335739136,0.5436722245985212,1.423352837562561,0.40982793194095163,1.8645739555358887,0.5744619697619476,1.246923804283142,0.35835491939250247
1200,2.8525731563568115,0.878485305906297,1.053007960319519,0.3021473952490545,1.7110439538955688,0.5243831840320761,1.7317993640899658,0.49917100498541117,1.8820381164550781,0.5806609726776597,0.952813982963562,0.272545668577325
1250,1.855004906654358,0.5694721245296193,1.0325778722763062,0.29705666004587955,1.3944867849349976,0.4291418395073826,1.0801608562469482,0.30864911387987465,1.517544150352478,0.46574947532266464,1.4299018383026123,0.4088725787125055
1300,1.8398255109786987,0.5651799288439346,1.1193572282791138,0.32059954979712735,2.597827911376953,0.7989728403950872,0.9399633407592773,0.2691949453294806,1.8077925443649292,0.5552995869398774,1.1045331954956055,0.316635610367107
1350,1.241644263267517,0.3820188441134616,1.2226980924606323,0.351971311655956,1.4408645629882812,0.44203414439783156,1.2155324220657349,0.35093280888534956,2.2117393016815186,0.6784502674872398,1.0068702697753906,0.2882052948444739
1400,1.4729026556015015,0.4534328475919074,1.2822120189666748,0.3695240819089358,2.2335922718048096,0.6846090106917999,0.995881974697113,0.28603240445362327,1.478963017463684,0.45522861870691883,1.122239351272583,0.32210622387068094
1450,1.3914791345596313,0.42694906871215615,1.7124086618423462,0.4966700197431655,1.2830125093460083,0.39542642150350626,1.0148476362228394,0.29136776592729485,2.4312944412231445,0.748004364391476,1.082040548324585,0.3099619047721226
1500,2.268097162246704,0.6988589450102165,0.9747005701065063,0.2789338644897262,1.242908239364624,0.38176854562558726,1.1987624168395996,0.34282903695030276,2.026149034500122,0.6231649404980973,1.1886733770370483,0.3373996959351787
